Number,State,IDState,Actorkey,ActorkeyState,Análisis_suelo_18,Análisis_foliar_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Composta_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desvare_18,Feromonas_18,Fertilización_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Tratamiento_semillas_18,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Cli18,Rad18,Cli17,Int17,Rad17,Rend17,Auto17,Edad18,Sup18,Rend18,Esc18,Auto18,Int18,CRend,Crad,CCli,CAuto,Cint
368,Chiapas,CHP,ER1145,CHPER1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,8,82,2,3,3,8,0,0,0,2,0,0
369,Chiapas,CHP,ER1146,CHPER1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7,63,2,3,2,5,0,-1,0,0,-2,0
370,Chiapas,CHP,ER1147,CHPER1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,15,43,2.5,3,9,11,0,0,0,1,-4,0
371,Chiapas,CHP,ER1148,CHPER1148,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,7.692307692,20.87912088,1,1,0.073,0,0,0.034,1.2,10,60,1,4,6,37.5,0,2.8,0.039,1,27.5,0
372,Chiapas,CHP,ER1149,CHPER1149,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,28.57142857,15.38461538,13.18681319,1,0,0.063,0,2.356,0.023,2,10,56,4.5,3.5,9,10,0.073,1.5,0.04,0,0,-2.283
373,Chiapas,CHP,ER115,CHPER115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,7.692307692,6.593406593,1,1,0.042,1,0,0.023,3,30,44,3,4,3,10,0,1,0.019,0,-20,0
374,Chiapas,CHP,ER1152,CHPER1152,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28.57142857,7.692307692,20.87912088,1,1,0.063,0,0,0.023,1.2,10,58,4,3.8,6,14.5,0,2.6,0.04,1,4.5,0
375,Chiapas,CHP,ER1154,CHPER1154,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,35.71428571,23.07692308,12.63736264,1,1,0.105,0,0,0.045,9,20,68,1.51,3,6,33.3,0,-6,0.06,1,13.3,0
376,Chiapas,CHP,ER1155,CHPER1155,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,35.71428571,15.38461538,20.32967033,1,1,0.084,0,0,0.023,4.5,20,78,3,2.8,4,28.5,0,-1.7,0.061,1,8.5,0
377,Chiapas,CHP,ER1156,CHPER1156,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,35.71428571,23.07692308,12.63736264,1,1,0.084,0,0,0.023,12,10,63,2,3,4,16.3,0,-9,0.061,1,6.3,0
378,Chiapas,CHP,ER1158,CHPER1158,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,23.07692308,5.494505495,1,1,0.105,0,0,0.045,3,50,47,2.73,3,9,26,0,0,0.06,1,-24,0
379,Chiapas,CHP,ER1159,CHPER1159,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,35.71428571,15.38461538,20.32967033,1,1,0.084,0,0,0.023,4.5,40,55,1.2,3,9,44,0,-1.5,0.061,1,4,0
380,Chiapas,CHP,ER116,CHPER116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,7.692307692,13.73626374,1,1,0.07,1,0,0.034,3,30,58,4,2,1,20,0,-1,0.036,0,-10,0
381,Chiapas,CHP,ER1161,CHPER1161,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,35.71428571,23.07692308,12.63736264,1,0,0.105,0,0,0.045,2.5,50,64,1,2,6,100,0,-0.5,0.06,0,50,0
382,Chiapas,CHP,ER1162,CHPER1162,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,7.692307692,20.87912088,1,1,0.084,0,0,0.023,3,50,64,2,3,6,33,0,0,0.061,1,-17,0
383,Chiapas,CHP,ER1164,CHPER1164,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,7.692307692,20.87912088,1,1,0.084,0,0,0.023,6,30,63,1,3,6,66,0,-3,0.061,1,36,0
384,Chiapas,CHP,ER1168,CHPER1168,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,35.71428571,15.38461538,20.32967033,1,1,0.105,0,0,0.045,7,20,70,2,6,4,33,0,-1,0.06,1,13,0
385,Chiapas,CHP,ER1169,CHPER1169,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,15.38461538,13.18681319,1,1,0.084,0,0,0.023,4.5,30,64,2,3,6,33,0,-1.5,0.061,1,3,0
386,Chiapas,CHP,ER117,CHPER117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,7.692307692,6.593406593,1,1,0.042,1,0,0.023,4,20,41,2,3.5,3,20,0.031,-0.5,0.019,0,0,0.031
387,Chiapas,CHP,ER1170,CHPER1170,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,35.71428571,15.38461538,20.32967033,1,1,0.105,0,0,0.045,6,30,70,3.5,3,4,23,0,-3,0.06,1,-7,0
388,Chiapas,CHP,ER1171,CHPER1171,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,7.692307692,20.87912088,1,1,0.105,0,0,0.023,2.7,50,58,1.82,3,6,45,0,0.3,0.082,1,-5,0
389,Chiapas,CHP,ER1172,CHPER1172,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,7.692307692,20.87912088,1,0,0.084,0,0,0.023,3.5,50,53,0.5,3,6,100,0,-0.5,0.061,0,50,0
390,Chiapas,CHP,ER1174,CHPER1174,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,28.57142857,1,0,0.021,0,0,0,0.3,100,68,1.5,1.2,8,100,0,0.9,0.021,0,0,0
391,Chiapas,CHP,ER1175,CHPER1175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,0.5,100,74,1.4,0.8,3,100,0,0.3,0.021,0,0,0
392,Chiapas,CHP,ER1176,CHPER1176,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,28.57142857,1,0,0.021,0,0,0,1.4,100,62,1,1.5,6,100,0,0.1,0.021,0,0,0
393,Chiapas,CHP,ER1177,CHPER1177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,0.6,100,50,1.68,0.8,0,100,0,0.2,0.021,0,0,0
