Num,Clave_Nal,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Edad18,Sup18,Esc18,CRend,Crad,CCli,CPrec,CAuto,Cint
6117,MEXER1831,6.666666667,21.42857143,-14.76190476,0,67,1.18,6,0,0.007,0,2700,0,0
6118,MEXER1832,13.33333333,21.42857143,-8.095238095,0,87,0.89,0,0.5,0.022,0,-2500,0,0
6119,MEXER1833,33.33333333,14.28571429,19.04761905,1,65,0.7,0,0.5,0.03,0,1500,0,0
6120,MEXER1834,13.33333333,7.142857143,6.19047619,1,78,3.52,0,0.5,0.022,0,400,0,0
6121,MEXER1835,20,14.28571429,5.714285714,1,61,3.39,3,0.5,0.03,0,1000,0,0
6122,MEXER1836,6.666666667,28.57142857,-21.9047619,0,49,2,9,0.5,0.007,0,-3900,0,0
6123,MEXER1837,6.666666667,14.28571429,-7.619047619,0,48,3,0,0.5,0.022,0,2000,-5,0
6124,MEXER1838,6.666666667,14.28571429,-7.619047619,0,64,1.45,0,0,0.022,0,0,0,0
6125,MEXER1840,6.666666667,21.42857143,-14.76190476,0,53,1.79,12,0,0.007,0,1000,0,0
6126,MEXER1841,20,28.57142857,-8.571428571,0,64,1.27,0,0.5,0.038,0,0,0,0
6127,MEXER1842,26.66666667,21.42857143,5.238095238,1,43,0.54,22,0,0.007,0,1500,0,0
6128,MEXER1843,13.33333333,7.142857143,6.19047619,1,49,4,12,0,0.007,0,2500,0,0
6129,MEXER1844,20,28.57142857,-8.571428571,0,81,0.73,6,0,0.03,0,0,0,0
6130,MEXER1845,6.666666667,21.42857143,-14.76190476,0,61,1.74,6,0,0.007,0,500,0,0
6131,MEXER1847,20,21.42857143,-1.428571429,0,52,3,2,2,0.045,1,2700,-50,0
6132,MEXER1848,26.66666667,14.28571429,12.38095238,1,74,1.3,6,0.5,0.038,0,1500,0,0
6133,MEXER1850,33.33333333,21.42857143,11.9047619,1,46,1.74,13,0,0.007,0,500,0,0
6134,MEXER1852,26.66666667,35.71428571,-9.047619048,0,75,0.8,4,-0.15,0.03,1,-3166,45,0
6135,MEXER1853,33.33333333,14.28571429,19.04761905,1,49,5,12,0,0.016,0,500,1,0
6136,MEXER1854,26.66666667,7.142857143,19.52380952,1,75,4.4,6,-0.75,0.052,1,800,-20,0.067
6137,MEXER1855,13.33333333,7.142857143,6.19047619,1,59,1.5,6,1,0.007,0,-3166,40,0
6138,MEXER1856,33.33333333,7.142857143,26.19047619,1,77,2,2,0.65,0.074,0,0,0,0
6139,MEXER1857,20,28.57142857,-8.571428571,0,47,2.5,12,0,0.016,0,0,0,0
6140,MEXER1858,13.33333333,21.42857143,-8.095238095,0,47,1,9,0.8,0.016,0,-300,0,0
